image_index,expected,python_pred,rtl_pred,prediction_equal,python_correct,rtl_correct,rtl_cycles
143,3,3,3,1,1,1,901
144,4,4,4,1,1,1,901
145,5,5,5,1,1,1,901
146,6,6,6,1,1,1,901
147,7,7,7,1,1,1,901
148,8,8,8,1,1,1,901
149,9,9,9,1,1,1,901
150,0,0,0,1,1,1,901
151,1,1,1,1,1,1,901
152,2,2,2,1,1,1,901
153,3,3,3,1,1,1,901
154,4,4,4,1,1,1,901
155,5,5,5,1,1,1,901
156,6,6,6,1,1,1,901
157,7,7,7,1,1,1,901
158,8,8,8,1,1,1,901
159,9,9,9,1,1,1,901
160,0,0,0,1,1,1,901
161,1,1,1,1,1,1,901
162,2,2,2,1,1,1,901
163,3,3,3,1,1,1,901
164,4,4,4,1,1,1,901
165,5,5,5,1,1,1,901
166,6,6,6,1,1,1,901
167,7,7,7,1,1,1,901
168,8,8,8,1,1,1,901
169,9,9,9,1,1,1,901
170,0,0,0,1,1,1,901
171,1,1,1,1,1,1,901
172,2,2,2,1,1,1,901
173,3,3,3,1,1,1,901
174,4,4,4,1,1,1,901
175,5,5,5,1,1,1,901
176,6,6,6,1,1,1,901
177,7,7,7,1,1,1,901
178,8,8,8,1,1,1,901
179,9,9,9,1,1,1,901
180,0,0,0,1,1,1,901
181,1,1,1,1,1,1,901
182,2,2,2,1,1,1,901
183,3,3,3,1,1,1,901
184,4,4,4,1,1,1,901
185,5,5,5,1,1,1,901
186,6,6,6,1,1,1,901
187,7,7,7,1,1,1,901
188,8,8,8,1,1,1,901
189,9,9,9,1,1,1,901
190,0,2,2,1,0,0,901
191,1,1,1,1,1,1,901
192,2,3,3,1,0,0,901
193,3,3,3,1,1,1,901
194,4,4,4,1,1,1,901
195,5,5,5,1,1,1,901
196,6,6,6,1,1,1,901
197,7,7,7,1,1,1,901
198,8,8,8,1,1,1,901
199,9,9,9,1,1,1,901
200,0,0,0,1,1,1,901
201,1,1,1,1,1,1,901
202,2,2,2,1,1,1,901
203,3,3,3,1,1,1,901
204,4,4,4,1,1,1,901
205,5,8,8,1,0,0,901
206,6,6,6,1,1,1,901
207,7,7,7,1,1,1,901
208,8,8,8,1,1,1,901
209,9,9,9,1,1,1,901
210,0,0,0,1,1,1,901
211,1,1,1,1,1,1,901
212,2,2,2,1,1,1,901
213,3,3,3,1,1,1,901
214,4,4,4,1,1,1,901
215,5,5,5,1,1,1,901
216,6,6,6,1,1,1,901
217,7,7,7,1,1,1,901
218,8,8,8,1,1,1,901
219,9,9,9,1,1,1,901
220,0,0,0,1,1,1,901
221,1,1,1,1,1,1,901
222,2,2,2,1,1,1,901
223,3,3,3,1,1,1,901
224,4,4,4,1,1,1,901
225,5,5,5,1,1,1,901
226,6,6,6,1,1,1,901
227,7,7,7,1,1,1,901
228,8,8,8,1,1,1,901
229,9,9,9,1,1,1,901
230,0,0,0,1,1,1,901
231,1,1,1,1,1,1,901
232,2,2,2,1,1,1,901
233,3,3,3,1,1,1,901
234,4,4,4,1,1,1,901
235,5,5,5,1,1,1,901
236,6,6,6,1,1,1,901
237,7,7,7,1,1,1,901
238,8,8,8,1,1,1,901
239,9,9,9,1,1,1,901
240,0,0,0,1,1,1,901
241,1,1,1,1,1,1,901
242,2,2,2,1,1,1,901
243,3,3,3,1,1,1,901
244,4,4,4,1,1,1,901
245,5,5,5,1,1,1,901
246,6,6,6,1,1,1,901
247,7,7,7,1,1,1,901
248,8,8,8,1,1,1,901
249,9,9,9,1,1,1,901
250,0,0,0,1,1,1,901
251,1,1,1,1,1,1,901
252,2,2,2,1,1,1,901
253,3,3,3,1,1,1,901
254,4,4,4,1,1,1,901
255,5,5,5,1,1,1,901
256,6,6,6,1,1,1,901
257,7,7,7,1,1,1,901
258,8,8,8,1,1,1,901
259,9,9,9,1,1,1,901
260,0,0,0,1,1,1,901
261,1,1,1,1,1,1,901
262,2,2,2,1,1,1,901
263,3,3,3,1,1,1,901
264,4,4,4,1,1,1,901
265,5,5,5,1,1,1,901
266,6,6,6,1,1,1,901
267,7,7,7,1,1,1,901
268,8,8,8,1,1,1,901
269,9,9,9,1,1,1,901
270,0,0,0,1,1,1,901
271,1,1,1,1,1,1,901
272,2,2,2,1,1,1,901
273,3,3,3,1,1,1,901
274,4,4,4,1,1,1,901
275,5,5,5,1,1,1,901
276,6,6,6,1,1,1,901
277,7,7,7,1,1,1,901
278,8,8,8,1,1,1,901
279,9,9,9,1,1,1,901
280,0,0,0,1,1,1,901
281,1,1,1,1,1,1,901
282,2,2,2,1,1,1,901
283,3,3,3,1,1,1,901
284,4,4,4,1,1,1,901
285,5,5,5,1,1,1,901
286,6,6,6,1,1,1,901
287,7,7,7,1,1,1,901
288,8,8,8,1,1,1,901
289,9,9,9,1,1,1,901
290,0,2,2,1,0,0,901
291,1,1,1,1,1,1,901
292,2,3,3,1,0,0,901
293,3,3,3,1,1,1,901
294,4,4,4,1,1,1,901
295,5,5,5,1,1,1,901
296,6,6,6,1,1,1,901
297,7,7,7,1,1,1,901
298,8,8,8,1,1,1,901
299,9,9,9,1,1,1,901
300,0,0,0,1,1,1,901
301,1,1,1,1,1,1,901
302,2,2,2,1,1,1,901
303,3,3,3,1,1,1,901
304,4,4,4,1,1,1,901
305,5,8,8,1,0,0,901
306,6,6,6,1,1,1,901
307,7,7,7,1,1,1,901
308,8,8,8,1,1,1,901
309,9,9,9,1,1,1,901
310,0,0,0,1,1,1,901
311,1,1,1,1,1,1,901
312,2,2,2,1,1,1,901
313,3,3,3,1,1,1,901
314,4,4,4,1,1,1,901
315,5,5,5,1,1,1,901
316,6,6,6,1,1,1,901
317,7,7,7,1,1,1,901
318,8,8,8,1,1,1,901
319,9,9,9,1,1,1,901
320,0,0,0,1,1,1,901
321,1,1,1,1,1,1,901
322,2,2,2,1,1,1,901
323,3,3,3,1,1,1,901
324,4,4,4,1,1,1,901
325,5,5,5,1,1,1,901
326,6,6,6,1,1,1,901
327,7,7,7,1,1,1,901
328,8,8,8,1,1,1,901
329,9,9,9,1,1,1,901
330,0,0,0,1,1,1,901
331,1,1,1,1,1,1,901
332,2,2,2,1,1,1,901
333,3,3,3,1,1,1,901
334,4,4,4,1,1,1,901
335,5,5,5,1,1,1,901
336,6,6,6,1,1,1,901
337,7,7,7,1,1,1,901
338,8,8,8,1,1,1,901
339,9,9,9,1,1,1,901
340,0,0,0,1,1,1,901
341,1,1,1,1,1,1,901
342,2,2,2,1,1,1,901
343,3,3,3,1,1,1,901
344,4,4,4,1,1,1,901
345,5,5,5,1,1,1,901
346,6,6,6,1,1,1,901
347,7,7,7,1,1,1,901
348,8,8,8,1,1,1,901
349,9,9,9,1,1,1,901
350,0,0,0,1,1,1,901
351,1,1,1,1,1,1,901
352,2,2,2,1,1,1,901
353,3,3,3,1,1,1,901
354,4,4,4,1,1,1,901
355,5,5,5,1,1,1,901
356,6,6,6,1,1,1,901
357,7,7,7,1,1,1,901
358,8,8,8,1,1,1,901
359,9,9,9,1,1,1,901
360,0,0,0,1,1,1,901
361,1,1,1,1,1,1,901
362,2,2,2,1,1,1,901
363,3,3,3,1,1,1,901
364,4,4,4,1,1,1,901
365,5,5,5,1,1,1,901
366,6,6,6,1,1,1,901
367,7,7,7,1,1,1,901
368,8,8,8,1,1,1,901
369,9,9,9,1,1,1,901
370,0,0,0,1,1,1,901
371,1,1,1,1,1,1,901
372,2,2,2,1,1,1,901
373,3,3,3,1,1,1,901
374,4,4,4,1,1,1,901
375,5,5,5,1,1,1,901
376,6,6,6,1,1,1,901
377,7,7,7,1,1,1,901
378,8,8,8,1,1,1,901
379,9,9,9,1,1,1,901
380,0,0,0,1,1,1,901
381,1,1,1,1,1,1,901
382,2,2,2,1,1,1,901
383,3,3,3,1,1,1,901
384,4,4,4,1,1,1,901
385,5,5,5,1,1,1,901
386,6,6,6,1,1,1,901
387,7,7,7,1,1,1,901
388,8,8,8,1,1,1,901
389,9,9,9,1,1,1,901
390,0,2,2,1,0,0,901
391,1,1,1,1,1,1,901
392,2,3,3,1,0,0,901
393,3,3,3,1,1,1,901
394,4,4,4,1,1,1,901
395,5,5,5,1,1,1,901
396,6,6,6,1,1,1,901
397,7,7,7,1,1,1,901
398,8,8,8,1,1,1,901
399,9,9,9,1,1,1,901
400,0,0,0,1,1,1,901
401,1,1,1,1,1,1,901
402,2,2,2,1,1,1,901
403,3,3,3,1,1,1,901
404,4,4,4,1,1,1,901
405,5,8,8,1,0,0,901
406,6,6,6,1,1,1,901
407,7,7,7,1,1,1,901
408,8,8,8,1,1,1,901
409,9,9,9,1,1,1,901
410,0,0,0,1,1,1,901
411,1,1,1,1,1,1,901
412,2,2,2,1,1,1,901
413,3,3,3,1,1,1,901
414,4,4,4,1,1,1,901
415,5,5,5,1,1,1,901
416,6,6,6,1,1,1,901
417,7,7,7,1,1,1,901
418,8,8,8,1,1,1,901
419,9,9,9,1,1,1,901
420,0,0,0,1,1,1,901
421,1,1,1,1,1,1,901
422,2,2,2,1,1,1,901
423,3,3,3,1,1,1,901
424,4,4,4,1,1,1,901
425,5,5,5,1,1,1,901
426,6,6,6,1,1,1,901
427,7,7,7,1,1,1,901
428,8,8,8,1,1,1,901
429,9,9,9,1,1,1,901
430,0,0,0,1,1,1,901
431,1,1,1,1,1,1,901
432,2,2,2,1,1,1,901
433,3,3,3,1,1,1,901
434,4,4,4,1,1,1,901
435,5,5,5,1,1,1,901
436,6,6,6,1,1,1,901
437,7,7,7,1,1,1,901
438,8,8,8,1,1,1,901
439,9,9,9,1,1,1,901
440,0,0,0,1,1,1,901
441,1,1,1,1,1,1,901
442,2,2,2,1,1,1,901
443,3,3,3,1,1,1,901
444,4,4,4,1,1,1,901
445,5,5,5,1,1,1,901
446,6,6,6,1,1,1,901
447,7,7,7,1,1,1,901
448,8,8,8,1,1,1,901
449,9,9,9,1,1,1,901
450,0,0,0,1,1,1,901
451,1,1,1,1,1,1,901
452,2,2,2,1,1,1,901
453,3,3,3,1,1,1,901
454,4,4,4,1,1,1,901
455,5,5,5,1,1,1,901
456,6,6,6,1,1,1,901
457,7,7,7,1,1,1,901
458,8,8,8,1,1,1,901
459,9,9,9,1,1,1,901
460,0,0,0,1,1,1,901
461,1,1,1,1,1,1,901
462,2,2,2,1,1,1,901
463,3,3,3,1,1,1,901
464,4,4,4,1,1,1,901
465,5,5,5,1,1,1,901
466,6,6,6,1,1,1,901
467,7,7,7,1,1,1,901
468,8,8,8,1,1,1,901
469,9,9,9,1,1,1,901
470,0,0,0,1,1,1,901
471,1,1,1,1,1,1,901
472,2,2,2,1,1,1,901
473,3,3,3,1,1,1,901
474,4,4,4,1,1,1,901
475,5,5,5,1,1,1,901
476,6,6,6,1,1,1,901
477,7,7,7,1,1,1,901
478,8,8,8,1,1,1,901
479,9,9,9,1,1,1,901
480,0,0,0,1,1,1,901
481,1,1,1,1,1,1,901
482,2,2,2,1,1,1,901
483,3,3,3,1,1,1,901
484,4,4,4,1,1,1,901
485,5,5,5,1,1,1,901
486,6,6,6,1,1,1,901
487,7,7,7,1,1,1,901
488,8,8,8,1,1,1,901
489,9,9,9,1,1,1,901
490,0,2,2,1,0,0,901
491,1,1,1,1,1,1,901
492,2,3,3,1,0,0,901
493,3,3,3,1,1,1,901
494,4,4,4,1,1,1,901
495,5,5,5,1,1,1,901
496,6,6,6,1,1,1,901
497,7,7,7,1,1,1,901
498,8,8,8,1,1,1,901
499,9,9,9,1,1,1,901
500,0,0,0,1,1,1,901
501,1,1,1,1,1,1,901
502,2,2,2,1,1,1,901
503,3,3,3,1,1,1,901
504,4,4,4,1,1,1,901
505,5,8,8,1,0,0,901
506,6,6,6,1,1,1,901
507,7,7,7,1,1,1,901
508,8,8,8,1,1,1,901
509,9,9,9,1,1,1,901
510,0,0,0,1,1,1,901
511,1,1,1,1,1,1,901
512,2,2,2,1,1,1,901
513,3,3,3,1,1,1,901
514,4,4,4,1,1,1,901
515,5,5,5,1,1,1,901
516,6,6,6,1,1,1,901
517,7,7,7,1,1,1,901
518,8,8,8,1,1,1,901
519,9,9,9,1,1,1,901
520,0,0,0,1,1,1,901
521,1,1,1,1,1,1,901
522,2,2,2,1,1,1,901
523,3,3,3,1,1,1,901
524,4,4,4,1,1,1,901
525,5,5,5,1,1,1,901
526,6,6,6,1,1,1,901
527,7,7,7,1,1,1,901
528,8,8,8,1,1,1,901
529,9,9,9,1,1,1,901
530,0,0,0,1,1,1,901
531,1,1,1,1,1,1,901
532,2,2,2,1,1,1,901
533,3,3,3,1,1,1,901
534,4,4,4,1,1,1,901
535,5,5,5,1,1,1,901
536,6,6,6,1,1,1,901
537,7,7,7,1,1,1,901
538,8,8,8,1,1,1,901
539,9,9,9,1,1,1,901
540,0,0,0,1,1,1,901
541,1,1,1,1,1,1,901
542,2,2,2,1,1,1,901
543,3,3,3,1,1,1,901
544,4,4,4,1,1,1,901
545,5,5,5,1,1,1,901
546,6,6,6,1,1,1,901
547,7,7,7,1,1,1,901
548,8,8,8,1,1,1,901
549,9,9,9,1,1,1,901
550,0,0,0,1,1,1,901
551,1,1,1,1,1,1,901
552,2,2,2,1,1,1,901
553,3,3,3,1,1,1,901
554,4,4,4,1,1,1,901
555,5,5,5,1,1,1,901
556,6,6,6,1,1,1,901
557,7,7,7,1,1,1,901
558,8,8,8,1,1,1,901
559,9,9,9,1,1,1,901
560,0,0,0,1,1,1,901
561,1,1,1,1,1,1,901
562,2,2,2,1,1,1,901
563,3,3,3,1,1,1,901
564,4,4,4,1,1,1,901
565,5,5,5,1,1,1,901
566,6,6,6,1,1,1,901
567,7,7,7,1,1,1,901
568,8,8,8,1,1,1,901
569,9,9,9,1,1,1,901
570,0,0,0,1,1,1,901
571,1,1,1,1,1,1,901
572,2,2,2,1,1,1,901
573,3,3,3,1,1,1,901
574,4,4,4,1,1,1,901
575,5,5,5,1,1,1,901
576,6,6,6,1,1,1,901
577,7,7,7,1,1,1,901
578,8,8,8,1,1,1,901
579,9,9,9,1,1,1,901
580,0,0,0,1,1,1,901
581,1,1,1,1,1,1,901
582,2,2,2,1,1,1,901
583,3,3,3,1,1,1,901
584,4,4,4,1,1,1,901
585,5,5,5,1,1,1,901
586,6,6,6,1,1,1,901
587,7,7,7,1,1,1,901
588,8,8,8,1,1,1,901
589,9,9,9,1,1,1,901
590,0,2,2,1,0,0,901
591,1,1,1,1,1,1,901
592,2,3,3,1,0,0,901
593,3,3,3,1,1,1,901
594,4,4,4,1,1,1,901
595,5,5,5,1,1,1,901
596,6,6,6,1,1,1,901
597,7,7,7,1,1,1,901
598,8,8,8,1,1,1,901
599,9,9,9,1,1,1,901
600,0,0,0,1,1,1,901
601,1,1,1,1,1,1,901
602,2,2,2,1,1,1,901
603,3,3,3,1,1,1,901
604,4,4,4,1,1,1,901
605,5,8,8,1,0,0,901
606,6,6,6,1,1,1,901
607,7,7,7,1,1,1,901
608,8,8,8,1,1,1,901
609,9,9,9,1,1,1,901
610,0,0,0,1,1,1,901
611,1,1,1,1,1,1,901
612,2,2,2,1,1,1,901
613,3,3,3,1,1,1,901
614,4,4,4,1,1,1,901
615,5,5,5,1,1,1,901
616,6,6,6,1,1,1,901
617,7,7,7,1,1,1,901
618,8,8,8,1,1,1,901
619,9,9,9,1,1,1,901
620,0,0,0,1,1,1,901
621,1,1,1,1,1,1,901
622,2,2,2,1,1,1,901
623,3,3,3,1,1,1,901
624,4,4,4,1,1,1,901
625,5,5,5,1,1,1,901
626,6,6,6,1,1,1,901
627,7,7,7,1,1,1,901
628,8,8,8,1,1,1,901
629,9,9,9,1,1,1,901
630,0,0,0,1,1,1,901
631,1,1,1,1,1,1,901
632,2,2,2,1,1,1,901
633,3,3,3,1,1,1,901
634,4,4,4,1,1,1,901
635,5,5,5,1,1,1,901
636,6,6,6,1,1,1,901
637,7,7,7,1,1,1,901
638,8,8,8,1,1,1,901
639,9,9,9,1,1,1,901
640,0,0,0,1,1,1,901
641,1,1,1,1,1,1,901
642,2,2,2,1,1,1,901
643,3,3,3,1,1,1,901
644,4,4,4,1,1,1,901
645,5,5,5,1,1,1,901
646,6,6,6,1,1,1,901
647,7,7,7,1,1,1,901
648,8,8,8,1,1,1,901
649,9,9,9,1,1,1,901
650,0,0,0,1,1,1,901
651,1,1,1,1,1,1,901
652,2,2,2,1,1,1,901
653,3,3,3,1,1,1,901
654,4,4,4,1,1,1,901
655,5,5,5,1,1,1,901
656,6,6,6,1,1,1,901
657,7,7,7,1,1,1,901
658,8,8,8,1,1,1,901
659,9,9,9,1,1,1,901
660,0,0,0,1,1,1,901
661,1,1,1,1,1,1,901
662,2,2,2,1,1,1,901
663,3,3,3,1,1,1,901
664,4,4,4,1,1,1,901
665,5,5,5,1,1,1,901
666,6,6,6,1,1,1,901
667,7,7,7,1,1,1,901
668,8,8,8,1,1,1,901
669,9,9,9,1,1,1,901
670,0,0,0,1,1,1,901
671,1,1,1,1,1,1,901
672,2,2,2,1,1,1,901
673,3,3,3,1,1,1,901
674,4,4,4,1,1,1,901
675,5,5,5,1,1,1,901
676,6,6,6,1,1,1,901
677,7,7,7,1,1,1,901
678,8,8,8,1,1,1,901
679,9,9,9,1,1,1,901
680,0,0,0,1,1,1,901
681,1,1,1,1,1,1,901
682,2,2,2,1,1,1,901
683,3,3,3,1,1,1,901
684,4,4,4,1,1,1,901
685,5,5,5,1,1,1,901
686,6,6,6,1,1,1,901
687,7,7,7,1,1,1,901
688,8,8,8,1,1,1,901
689,9,9,9,1,1,1,901
690,0,2,2,1,0,0,901
691,1,1,1,1,1,1,901
692,2,3,3,1,0,0,901
693,3,3,3,1,1,1,901
694,4,4,4,1,1,1,901
695,5,5,5,1,1,1,901
696,6,6,6,1,1,1,901
697,7,7,7,1,1,1,901
698,8,8,8,1,1,1,901
699,9,9,9,1,1,1,901
700,0,0,0,1,1,1,901
701,1,1,1,1,1,1,901
702,2,2,2,1,1,1,901
703,3,3,3,1,1,1,901
704,4,4,4,1,1,1,901
705,5,8,8,1,0,0,901
706,6,6,6,1,1,1,901
707,7,7,7,1,1,1,901
708,8,8,8,1,1,1,901
709,9,9,9,1,1,1,901
710,0,0,0,1,1,1,901
711,1,1,1,1,1,1,901
712,2,2,2,1,1,1,901
713,3,3,3,1,1,1,901
714,4,4,4,1,1,1,901
715,5,5,5,1,1,1,901
716,6,6,6,1,1,1,901
717,7,7,7,1,1,1,901
718,8,8,8,1,1,1,901
719,9,9,9,1,1,1,901
720,0,0,0,1,1,1,901
721,1,1,1,1,1,1,901
722,2,2,2,1,1,1,901
723,3,3,3,1,1,1,901
724,4,4,4,1,1,1,901
725,5,5,5,1,1,1,901
726,6,6,6,1,1,1,901
727,7,7,7,1,1,1,901
728,8,8,8,1,1,1,901
729,9,9,9,1,1,1,901
730,0,0,0,1,1,1,901
731,1,1,1,1,1,1,901
732,2,2,2,1,1,1,901
733,3,3,3,1,1,1,901
734,4,4,4,1,1,1,901
735,5,5,5,1,1,1,901
736,6,6,6,1,1,1,901
737,7,7,7,1,1,1,901
738,8,8,8,1,1,1,901
739,9,9,9,1,1,1,901
740,0,0,0,1,1,1,901
741,1,1,1,1,1,1,901
742,2,2,2,1,1,1,901
743,3,3,3,1,1,1,901
744,4,4,4,1,1,1,901
745,5,5,5,1,1,1,901
746,6,6,6,1,1,1,901
747,7,7,7,1,1,1,901
748,8,8,8,1,1,1,901
749,9,9,9,1,1,1,901
750,0,0,0,1,1,1,901
751,1,1,1,1,1,1,901
752,2,2,2,1,1,1,901
753,3,3,3,1,1,1,901
754,4,4,4,1,1,1,901
755,5,5,5,1,1,1,901
756,6,6,6,1,1,1,901
757,7,7,7,1,1,1,901
758,8,8,8,1,1,1,901
759,9,9,9,1,1,1,901
760,0,0,0,1,1,1,901
761,1,1,1,1,1,1,901
762,2,2,2,1,1,1,901
763,3,3,3,1,1,1,901
764,4,4,4,1,1,1,901
765,5,5,5,1,1,1,901
766,6,6,6,1,1,1,901
767,7,7,7,1,1,1,901
768,8,8,8,1,1,1,901
769,9,9,9,1,1,1,901
770,0,0,0,1,1,1,901
771,1,1,1,1,1,1,901
772,2,2,2,1,1,1,901
773,3,3,3,1,1,1,901
774,4,4,4,1,1,1,901
775,5,5,5,1,1,1,901
776,6,6,6,1,1,1,901
777,7,7,7,1,1,1,901
778,8,8,8,1,1,1,901
779,9,9,9,1,1,1,901
780,0,0,0,1,1,1,901
781,1,1,1,1,1,1,901
782,2,2,2,1,1,1,901
783,3,3,3,1,1,1,901
784,4,4,4,1,1,1,901
785,5,5,5,1,1,1,901
786,6,6,6,1,1,1,901
787,7,7,7,1,1,1,901
788,8,8,8,1,1,1,901
789,9,9,9,1,1,1,901
790,0,2,2,1,0,0,901
791,1,1,1,1,1,1,901
792,2,3,3,1,0,0,901
793,3,3,3,1,1,1,901
794,4,4,4,1,1,1,901
795,5,5,5,1,1,1,901
796,6,6,6,1,1,1,901
797,7,7,7,1,1,1,901
798,8,8,8,1,1,1,901
799,9,9,9,1,1,1,901
800,0,0,0,1,1,1,901
801,1,1,1,1,1,1,901
802,2,2,2,1,1,1,901
803,3,3,3,1,1,1,901
804,4,4,4,1,1,1,901
805,5,8,8,1,0,0,901
806,6,6,6,1,1,1,901
807,7,7,7,1,1,1,901
808,8,8,8,1,1,1,901
809,9,9,9,1,1,1,901
810,0,0,0,1,1,1,901
811,1,1,1,1,1,1,901
812,2,2,2,1,1,1,901
813,3,3,3,1,1,1,901
814,4,4,4,1,1,1,901
815,5,5,5,1,1,1,901
816,6,6,6,1,1,1,901
817,7,7,7,1,1,1,901
818,8,8,8,1,1,1,901
819,9,9,9,1,1,1,901
820,0,0,0,1,1,1,901
821,1,1,1,1,1,1,901
822,2,2,2,1,1,1,901
823,3,3,3,1,1,1,901
824,4,4,4,1,1,1,901
825,5,5,5,1,1,1,901
826,6,6,6,1,1,1,901
827,7,7,7,1,1,1,901
828,8,8,8,1,1,1,901
829,9,9,9,1,1,1,901
830,0,0,0,1,1,1,901
831,1,1,1,1,1,1,901
832,2,2,2,1,1,1,901
833,3,3,3,1,1,1,901
834,4,4,4,1,1,1,901
835,5,5,5,1,1,1,901
836,6,6,6,1,1,1,901
837,7,7,7,1,1,1,901
838,8,8,8,1,1,1,901
839,9,9,9,1,1,1,901
840,0,0,0,1,1,1,901
841,1,1,1,1,1,1,901
842,2,2,2,1,1,1,901
843,3,3,3,1,1,1,901
844,4,4,4,1,1,1,901
845,5,5,5,1,1,1,901
846,6,6,6,1,1,1,901
847,7,7,7,1,1,1,901
848,8,8,8,1,1,1,901
849,9,9,9,1,1,1,901
850,0,0,0,1,1,1,901
851,1,1,1,1,1,1,901
852,2,2,2,1,1,1,901
853,3,3,3,1,1,1,901
854,4,4,4,1,1,1,901
855,5,5,5,1,1,1,901
856,6,6,6,1,1,1,901
857,7,7,7,1,1,1,901
858,8,8,8,1,1,1,901
859,9,9,9,1,1,1,901
860,0,0,0,1,1,1,901
861,1,1,1,1,1,1,901
862,2,2,2,1,1,1,901
863,3,3,3,1,1,1,901
864,4,4,4,1,1,1,901
865,5,5,5,1,1,1,901
866,6,6,6,1,1,1,901
867,7,7,7,1,1,1,901
868,8,8,8,1,1,1,901
